tranportation,city,postcode,housenumber,street,state,address1,address2
The Hotel @ Times Square,New York,10036,1180,6th Avenue,New York,The Hotel @ Times Square,"1180 6th Avenue, New York, NY 10036, United States of America"
Vanderbilt YMCA,New York,10017,224,East 47th Street,New York,Vanderbilt YMCA,"224 East 47th Street, New York, NY 10017, United States of America"
Broadway @ Times Square Hotel,New York,10036,129,West 46th Street,New York,Broadway @ Times Square Hotel,"129 West 46th Street, New York, NY 10036, United States of America"
Roger Smith Hotel,New York,10017,N/A,East 47th Street,New York,Roger Smith Hotel,"East 47th Street, New York, NY 10017, United States of America"
The Bernic,New York,10017,145,East 47th Street,New York,The Bernic,"145 East 47th Street, New York, NY 10017, United States of America"
Paramount Hotel,New York,10036,249,West 45th Street,New York,Paramount Hotel,"249 West 45th Street, New York, NY 10036, United States of America"
The Hotel Edison NYC,New York,10036,228,West 47th Street,New York,The Hotel Edison NYC,"228 West 47th Street, New York, NY 10036, United States of America"
Paramount Hotel,New York,10036,235,West 46th Street,New York,Paramount Hotel,"235 West 46th Street, New York, NY 10036, United States of America"
The Lexington,New York,10017,511,Lexington Avenue,New York,The Lexington,"511 Lexington Avenue, New York, NY 10017, United States of America"
Sanctuary Hotel,New York,10036,132,West 47th Street,New York,Sanctuary Hotel,"132 West 47th Street, New York, NY 10036, United States of America"
Residence Inn by Marriott,New York,10017,148,East 48th Street,New York,Residence Inn by Marriott,"148 East 48th Street, New York, NY 10017, United States of America"
W Times Square Hotel,New York,10036,N/A,West 47th Street,New York,W Times Square Hotel,"West 47th Street, New York, NY 10036, United States of America"
DoubleTree Suites,New York,10036,1568,Broadway,New York,DoubleTree Suites,"1568 Broadway, New York, NY 10036, United States of America"
Hotel Riu Plaza New York Times Square,New York,10036,305,West 46th Street,New York,Hotel Riu Plaza New York Times Square,"305 West 46th Street, New York, NY 10036, United States of America"
Hotel Riu Plaza Manhattan Times Square,New York,10036,145,West 47th Street,New York,Hotel Riu Plaza Manhattan Times Square,"145 West 47th Street, New York, NY 10036, United States of America"
The French Quarters Guest Apartments,New York,10036,346,West 46th Street,New York,The French Quarters Guest Apartments,"346 West 46th Street, New York, NY 10036, United States of America"
InterContinental New York Barclay,New York,10017,111,East 48th Street,New York,InterContinental New York Barclay,"111 East 48th Street, New York, NY 10017, United States of America"
Hotel 48LEX,New York,10017,517,Lexington Avenue,New York,Hotel 48LEX,"517 Lexington Avenue, New York, NY 10017, United States of America"
Hotel Riu Plaza New York Times Square,New York,10036,305,West 46th Street,New York,Hotel Riu Plaza New York Times Square,"305 West 46th Street, New York, NY 10036, United States of America"
The Henry Norman Hotel,New York,11222,251,North Henry Street,New York,The Henry Norman Hotel,"251 North Henry Street, New York, NY 11222, United States of America"
Econo Lodge,New York,10036,302,West 47th Street,New York,Econo Lodge,"302 West 47th Street, New York, NY 10036, United States of America"
Comfort Inn,New York,11232,150,20th Street,New York,Comfort Inn,"150 20th Street, New York, NY 11232, United States of America"
Renaissance New York Times Square Hotel,New York,10036,N/A,West 48th Street,New York,Renaissance New York Times Square Hotel,"West 48th Street, New York, NY 10036, United States of America"
Hard Rock Hotel,New York,10019,159,West 48th Street,New York,Hard Rock Hotel,"159 West 48th Street, New York, NY 10019, United States of America"
The Gallivant,New York,10036,234,West 48th Street,New York,The Gallivant,"234 West 48th Street, New York, NY 10036, United States of America"
Haiban Inn,Jersey City,07306,789,Newark Avenue,New Jersey,Haiban Inn,"789 Newark Avenue, Jersey City, NJ 07306, United States of America"
Waldorf-Astoria Hotel,New York,10037,301,Park Avenue,New York,Waldorf-Astoria Hotel,"301 Park Avenue, New York, NY 10037, United States of America"
Crowne Plaza Times Square,New York,10019,1605,Broadway,New York,Crowne Plaza Times Square,"1605 Broadway, New York, NY 10019, United States of America"
W Hotels,New York,10022,541,Lexington Avenue,New York,W Hotels,"541 Lexington Avenue, New York, NY 10022, United States of America"
San Carlos,New York,10022,150,East 50th Street,New York,San Carlos,"150 East 50th Street, New York, NY 10022, United States of America"
Hilton Garden Inn,New York,10019,790,8th Avenue,New York,Hilton Garden Inn,"790 8th Avenue, New York, NY 10019, United States of America"
Radio City Apartment,New York,10019,142,West 49th Street,New York,Radio City Apartment,"142 West 49th Street, New York, NY 10019, United States of America"
