entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
SLEEPCENTER,New York,10002,9,Monroe Street,New York,"9 Monroe Street, New York, NY 10002, United States of America",-73.9961249,40.7117446
9/11 Tribute Museum,New York,10006,92,Greenwich Street,New York,"92 Greenwich Street, New York, NY 10006, United States of America",-74.0137633,40.7079432
186f Kepler,New York,10013,171,Canal Street,New York,"171 Canal Street, New York, NY 10013, United States of America",-73.9971521,40.7167838
Guild Gallery,New York,10013,321,Canal Street,New York,"321 Canal Street, New York, NY 10013, United States of America",-74.0027872,40.7202528
OS NYC,New York,10013,50,Bowery,New York,"50 Bowery, New York, NY 10013, United States of America",-73.9964993,40.7159355
No Evil Eye,New York,10013,327,Canal Street,New York,"327 Canal Street, New York, NY 10013, United States of America",-74.0029385,40.7203858
Essex Flowers Gallery,New York,10002,19,Monroe Street,New York,"19 Monroe Street, New York, NY 10002, United States of America",-73.9956636,40.7117466
Martos Gallery,New York,10013,41,Elizabeth Street,New York,"41 Elizabeth Street, New York, NY 10013, United States of America",-73.9968271,40.7170446
Museum of Chinese in America,New York,10013,215,Centre Street,New York,"215 Centre Street, New York, NY 10013, United States of America",-73.9990481,40.7194172
Pier 25 Play Area,New York,10282,,Hudson River Park Esplanade,New York,"Hudson River Park Esplanade, New York, NY 10282, United States of America",-74.013125432149,40.7200723
Italian American Museum,New York,10012,155,Mulberry Street,New York,"155 Mulberry Street, New York, NY 10012, United States of America",-73.9974606,40.7192537
Leslie-Lohman Museum of Art,New York,10013,26,Wooster Street,New York,"26 Wooster Street, New York, NY 10013, United States of America",-74.0030317,40.7217683
Pier 25—Miniature Golf,New York,10282,,Hudson River Park Esplanade,New York,"Hudson River Park Esplanade, New York, NY 10282, United States of America",-74.0141217022924,40.72031715
Museum at Eldridge Street,New York,10002,12,Eldridge Street,New York,"12 Eldridge Street, New York, NY 10002, United States of America",-73.99346099360993,40.71472915
Art Projects International,New York,10013,434,Greenwich Street,New York,"434 Greenwich Street, New York, NY 10013, United States of America",-74.0098159,40.7226366
Fraunces Tavern Museum,New York,10004,54,Pearl Street,New York,"54 Pearl Street, New York, NY 10004, United States of America",-74.0113536,40.7033867
Jackie Robinson Museum,New York,10013,75,Varick Street,New York,"75 Varick Street, New York, NY 10013, United States of America",-74.0068809,40.7231769
Eden Gallery,New York,10012,470,Broome Street,New York,"470 Broome Street, New York, NY 10012, United States of America",-74.00140753533226,40.72282755
National Museum of the American Indian,New York,10004,,Bridge Street,New York,"Bridge Street, New York, NY 10004, United States of America",-74.0137472,40.7040265
,New York,10005,92,Laight Street,New York,"New York, NY 10005, United States of America",-74.0112781,40.7230437
Chinatown Soup,New York,10002,16B,Orchard Street,New York,"16B Orchard Street, New York, NY 10002, United States of America",-73.9916176,40.7151986
FIERMAN,New York,10002,127,Henry Street,New York,"127 Henry Street, New York, NY 10002, United States of America",-73.9912954,40.713402
Skyscraper Museum,New York,10280,39,Battery Place,New York,"39 Battery Place, New York, NY 10280, United States of America",-74.0177051,40.7057229
Museum of Jewish Heritage,New York,10280,,1st Place,New York,"1st Place, New York, NY 10280, United States of America",-74.01857424928056,40.70600185
Vacation,New York,10002,24,Orchard Street,New York,"24 Orchard Street, New York, NY 10002, United States of America",-73.991419,40.7154412
Miguel Abreu Gallery,New York,10002,36,Orchard Street,New York,"36 Orchard Street, New York, NY 10002, United States of America",-73.9912916,40.7158321
The Broken Kilometer (DIA),New York,10012,393,West Broadway,New York,"393 West Broadway, New York, NY 10012, United States of America",-74.0021462,40.7240871
SFA Gallery,New York,10002,131,Chrystie Street,New York,"131 Chrystie Street, New York, NY 10002, United States of America",-73.9933697,40.7194437
Judd Foundation,New York,10012,101,Spring Street,New York,"101 Spring Street, New York, NY 10012, United States of America",-73.9994085,40.7235189
Derek Eller Gallery,New York,10002,300,Broome Street,New York,"300 Broome Street, New York, NY 10002, United States of America",-73.992177,40.7188203
100 Gates Project,New York,10002,54,Orchard Street,New York,"54 Orchard Street, New York, NY 10002, United States of America",-73.9908729,40.7165969
Captain Jacob Joseph Playground,New York,10002,,Henry Street,New York,"Henry Street, New York, NY 10002, United States of America",-73.98981602969408,40.7135651
Reena Spauldings Fine Art,New York,10002,165,East Broadway,New York,"165 East Broadway, New York, NY 10002, United States of America",-73.9899544,40.7139131
Dahesh Museum of Art,New York,10005,,Dominick Street,New York,"Dominick Street, New York, NY 10005, United States of America",-74.0049076,40.7250957
Pop International Galleries,New York,10002,195,Bowery,New York,"195 Bowery, New York, NY 10002, United States of America",-73.9935566,40.7208659
Bargemusic,New York,11201,,Brooklyn Bridge Park Greenway,New York,"Brooklyn Bridge Park Greenway, New York, NY 11201, United States of America",-73.99527752421466,40.703166949999996
Woodward Gallery,New York,10002,132A,Eldridge Street,New York,"132A Eldridge Street, New York, NY 10002, United States of America",-73.9914924,40.7188556
Dixon Place,New York,10002,161A,Chrystie Street,New York,"161A Chrystie Street, New York, NY 10002, United States of America",-73.9930241,40.7207035
Museum of Ice Cream,New York,10003,558,Broadway,New York,"558 Broadway, New York, NY 10003, United States of America",-73.9979055,40.7238654
New York City Fire Museum,New York,10013,278,Spring Street,New York,"278 Spring Street, New York, NY 10013, United States of America",-74.00692978766418,40.7256009
Arsenal Contemporary Art,New York,10012,214,Bowery,New York,"214 Bowery, New York, NY 10012, United States of America",-73.9937691,40.7218041
James Fuentes LLC,New York,10002,55,Delancey Street,New York,"55 Delancey Street, New York, NY 10002, United States of America",-73.9911739,40.7191881
Magenta Plains,New York,10002,94,Allen Street,New York,"94 Allen Street, New York, NY 10002, United States of America",-73.9904291,40.7185164
St. Ann's Warehouse,New York,11201,45,Water Street,New York,"45 Water Street, New York, NY 11201, United States of America",-73.99281657078058,40.70358135
Lower East Side Tenement Museum,New York,10002,103,Orchard Street,New York,"103 Orchard Street, New York, NY 10002, United States of America",-73.9900266,40.7187837
New Museum,New York,10002,235,Bowery,New York,"235 Bowery, New York, NY 10002, United States of America",-73.992837965398,40.7223433
Museum of African Art,New York,10012,,Mercer Street,New York,"Mercer Street, New York, NY 10012, United States of America",-73.9977778,40.725
Lazy Susan Gallery,New York,10002,191,Henry Street,New York,"191 Henry Street, New York, NY 10002, United States of America",-73.9879511,40.7137046
DTR Modern Galleries,New York,10012,456,West Broadway,New York,"456 West Broadway, New York, NY 10012, United States of America",-74.0007365,40.7262
The Gutter - Lower East Side,New York,10002,79,Essex Street,New York,"79 Essex Street, New York, NY 10002, United States of America",-73.9888958,40.7179303
Brooklyn Historical Society,New York,11201,55,Water Street,New York,"55 Water Street, New York, NY 11201, United States of America",-73.9919921,40.7037138
bitforms gallery,New York,10002,131,Allen Street,New York,"131 Allen Street, New York, NY 10002, United States of America",-73.990232,40.7200826
ICP International Center of Photography Museum,New York,10012,,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9933858,40.7230882
Voltz Clarke Gallery,New York,10002,195,Chrystie Street,New York,"195 Chrystie Street, New York, NY 10002, United States of America",-73.9920403,40.7220357
Georges Bergès Gallery,New York,10012,462,West Broadway,New York,"462 West Broadway, New York, NY 10012, United States of America",-74.0006603,40.7263278
Pomegranate Gallery,New York,10012,137,Greene Street,New York,"137 Greene Street, New York, NY 10012, United States of America",-73.9987925,40.7258312
The Greene Space at WNYC/WQXR,New York,10012,44,Charlton Street,New York,"44 Charlton Street, New York, NY 10012, United States of America",-74.0052185,40.726956
International Center of Photography,New York,10002,79,Essex Street,New York,"79 Essex Street, New York, NY 10002, United States of America",-73.9886491,40.718097
Westwood Gallery,New York,10012,261,Bowery,New York,"261 Bowery, New York, NY 10012, United States of America",-73.9931761,40.7233254
The New York Foundation,New York,10012,137,Thompson Street,New York,"137 Thompson Street, New York, NY 10012, United States of America",-74.0014567,40.7267604
Perrotin New York,New York,10002,130,Orchard Street,New York,"130 Orchard Street, New York, NY 10002, United States of America",-73.9892959,40.7196517
Sperone Westwater,New York,10002,257,Bowery,New York,"257 Bowery, New York, NY 10002, United States of America",-73.99259365125786,40.7231582
Angelika Film Center,New York,10012,,Mercer Street,New York,"Mercer Street, New York, NY 10012, United States of America",-73.9973321,40.7259416
Klompching Gallery,New York,11201,89,Water Street,New York,"89 Water Street, New York, NY 11201, United States of America",-73.9910512,40.703354
Regal Essex 14 & RPX,New York,10002,129,Delancey Street,New York,"129 Delancey Street, New York, NY 10002, United States of America",-73.9879129,40.7182171
Con Artist Collective,New York,10002,119,Ludlow Street,New York,"119 Ludlow Street, New York, NY 10002, United States of America",-73.9887194,40.7196295
Children's Museum of the Arts,New York,10014,103,Charlton Street,New York,"103 Charlton Street, New York, NY 10014, United States of America",-74.0081354,40.7275353
Janet Borden,New York,11201,91,Water Street,New York,"91 Water Street, New York, NY 11201, United States of America",-73.9909792,40.7033514
Empirical Nonsense,New York,10002,87,Rivington Street,New York,"87 Rivington Street, New York, NY 10002, United States of America",-73.9889614,40.7201441
Powers Lowenfels Gallery,New York,10002,53,Stanton Street,New York,"53 Stanton Street, New York, NY 10002, United States of America",-73.990434,40.7219487
Krause Gallery,New York,10002,149,Allen Street,New York,"149 Allen Street, New York, NY 10002, United States of America",-73.9892808,40.720719
African Grove Theatre,New York,10012,181,Mercer Street,New York,"181 Mercer Street, New York, NY 10012, United States of America",-73.99748102316882,40.72653385
Environmental Education Center,New York,11201,19,Washington Street,New York,"19 Washington Street, New York, NY 11201, United States of America",-73.9893435,40.704197
The Cliffs at DUMBO,New York,11201,99,Plymouth Street,New York,"99 Plymouth Street, New York, NY 11201, United States of America",-73.989163,40.7041833
Film Forum,New York,10014,209,West Houston Street,New York,"209 West Houston Street, New York, NY 10014, United States of America",-74.0043864,40.7283888
The Slipper Room,New York,10002,167,Stanton Street,New York,"167 Stanton Street, New York, NY 10002, United States of America",-73.9886878,40.7214075
Duane Park,New York,10012,308,Bowery,New York,"308 Bowery, New York, NY 10012, United States of America",-73.9926111,40.7248886
Bowery Poetry,New York,10012,308,Bowery,New York,"308 Bowery, New York, NY 10012, United States of America",-73.9926017,40.7249142
SubCulture,New York,10012,45,Bleecker Street,New York,"45 Bleecker Street, New York, NY 10012, United States of America",-73.9942403,40.7258874
Sheen Center,New York,10012,18,Bleecker Street,New York,"18 Bleecker Street, New York, NY 10012, United States of America",-73.9932418,40.7254212
The Hole,New York,10012,312,Bowery,New York,"312 Bowery, New York, NY 10012, United States of America",-73.9925494,40.7250551
Zürcher Studio,New York,10012,33,Bleecker Street,New York,"33 Bleecker Street, New York, NY 10012, United States of America",-73.9937321,40.7257629
Spark Brooklyn Children's Museum Annex,New York,11201,1,John Street,New York,"1 John Street, New York, NY 11201, United States of America",-73.9878179,40.7045992
Le Poisson Rouge,New York,10012,158,Bleecker Street,New York,"158 Bleecker Street, New York, NY 10012, United States of America",-73.9998816,40.7284254
Amanita,New York,10003,313,Bowery,New York,"313 Bowery, New York, NY 10003, United States of America",-73.9919779,40.7251309
Rockwood Music Hall,New York,10002,196,Allen Street,New York,"196 Allen Street, New York, NY 10002, United States of America",-73.9885122,40.7224743
The Renee and Chaim Gross Foundation,New York,10012,526,LaGuardia Place,New York,"526 LaGuardia Place, New York, NY 10012, United States of America",-73.99882,40.7284684
Gene Frankel Theatre,New York,10012,24,Bond Street,New York,"24 Bond Street, New York, NY 10012, United States of America",-73.9937224,40.7265815
The River Project Wetlab,New York,10005,,Holland Tunnel,New York,"Holland Tunnel, New York, NY 10005, United States of America",-74.0135288,40.7284564
Center for Architecture,New York,10012,546,LaGuardia Place,New York,"546 LaGuardia Place, New York, NY 10012, United States of America",-73.9985805,40.72873
Anthology Film Archives,New York,10035,32,2nd Avenue,New York,"32 2nd Avenue, New York, NY 10035, United States of America",-73.9902601,40.7247547
Triangle Arts Association,New York,11201,20,Jay Street,New York,"20 Jay Street, New York, NY 11201, United States of America",-73.9868254,40.7042022
Henry Street Playhouse,New York,10002,466,Grand Street,New York,"466 Grand Street, New York, NY 10002, United States of America",-73.9838931,40.7152783
Downing Street Playground,New York,10014,,Downing Street,New York,"Downing Street, New York, NY 10014, United States of America",-74.00270903786804,40.7297984
Abrons Arts Center,New York,10002,466,Grand Street,New York,"466 Grand Street, New York, NY 10002, United States of America",-73.9837408,40.715245
La MaMa Galleria,New York,10012,47,Great Jones Street,New York,"47 Great Jones Street, New York, NY 10012, United States of America",-73.992545,40.7265986
Eric Firestone Gallery,New York,10012,40,Great Jones Street,New York,"40 Great Jones Street, New York, NY 10012, United States of America",-73.9926816,40.7269555
Angel Orensanz Foundation,New York,10002,172,Norfolk Street,New York,"172 Norfolk Street, New York, NY 10002, United States of America",-73.9857912,40.7211816
Fortnight Institute,New York,10003,21,East 3rd Street,New York,"21 East 3rd Street, New York, NY 10003, United States of America",-73.9905535,40.7259794
Morgan Presents,New York,10002,155,Suffolk Street,New York,"155 Suffolk Street, New York, NY 10002, United States of America",-73.9852723,40.7208065
Space 776,New York,10002,37,Clinton Street,New York,"37 Clinton Street, New York, NY 10002, United States of America",-73.9847106,40.7200219
Minetta Lane Theatre,New York,10014,,6th Avenue,New York,"6th Avenue, New York, NY 10014, United States of America",-74.0016667,40.7302778
Undercurrent,New York,11201,70,John Street,New York,"70 John Street, New York, NY 11201, United States of America",-73.9854495,40.704266
Comedy Cellar,New York,10012,117,Minetta Lane,New York,"117 Minetta Lane, New York, NY 10012, United States of America",-74.00056470997818,40.730194
trotter&sholer,New York,10002,168,Suffolk Street,New York,"168 Suffolk Street, New York, NY 10002, United States of America",-73.9850348,40.7208132
Spencer Brownstone Gallery,New York,10002,170-A,Suffolk Street,New York,"170-A Suffolk Street, New York, NY 10002, United States of America",-73.9850036,40.7208764
Rachel Uffner,New York,10002,170,Suffolk Street,New York,"170 Suffolk Street, New York, NY 10002, United States of America",-73.984974,40.7209311
La MaMa,New York,10003,66,East 4th Street,New York,"66 East 4th Street, New York, NY 10003, United States of America",-73.99019781812584,40.72632695
Minetta Playground,New York,10014,,6th Avenue,New York,"6th Avenue, New York, NY 10014, United States of America",-74.00130017070664,40.730705549999996
Merchant's House Museum,New York,10003,29,East 4th Street,New York,"29 East 4th Street, New York, NY 10003, United States of America",-73.99234229217802,40.7276594
Loop of the Loom,New York,11201,197,Plymouth Street,New York,"197 Plymouth Street, New York, NY 11201, United States of America",-73.9853038,40.7037822
Skirball Center for the Performing Arts,New York,10012,566,LaGuardia Place,New York,"566 LaGuardia Place, New York, NY 10012, United States of America",-73.9977312,40.7298263
Caveat,New York,10002,21,Clinton Street,New York,"21 Clinton Street, New York, NY 10002, United States of America",-73.9843722,40.7206712
The 4th Street Photo Gallery,New York,10003,67,East 4th Street,New York,"67 East 4th Street, New York, NY 10003, United States of America",-73.9905701,40.7267758
New York Theatre Workshop,New York,10003,79,East 4th Street,New York,"79 East 4th Street, New York, NY 10003, United States of America",-73.9899901979595,40.72668675
Art Clinic,New York,10002,106,Ridge Street,New York,"106 Ridge Street, New York, NY 10002, United States of America",-73.9831736,40.7187633
New York Comedy Club,New York,10003,85,East 4th Street,New York,"85 East 4th Street, New York, NY 10003, United States of America",-73.9898762,40.7264872
Kraine Theater,New York,10003,85,East 4th Street,New York,"85 East 4th Street, New York, NY 10003, United States of America",-73.9898394,40.7265382
Cherry Lane Theater,New York,10014,38,Commerce Street,New York,"38 Commerce Street, New York, NY 10014, United States of America",-74.0052802,40.7312452
Hashimoto Contemporary,New York,10002,210,Rivington Street,New York,"210 Rivington Street, New York, NY 10002, United States of America",-73.9826995,40.7184451
IFC Center,New York,10014,323,6th Avenue,New York,"323 6th Avenue, New York, NY 10014, United States of America",-74.00166540166389,40.731224299999994
Grey Art Gallery,New York,10012,,Washington Square East,New York,"Washington Square East, New York, NY 10012, United States of America",-73.996123,40.7299471
Public Theater,New York,10003,425,Lafayette Street,New York,"425 Lafayette Street, New York, NY 10003, United States of America",-73.99180466093696,40.728929050000005
The Ukrainian Museum,New York,10003,220,East 6th Street,New York,"220 East 6th Street, New York, NY 10003, United States of America",-73.98977368085673,40.7276502
Karma Gallery,New York,10009,188,East 2nd Street,New York,"188 East 2nd Street, New York, NY 10009, United States of America",-73.9841125,40.7224564
Greenwich House Music School,New York,10014,46,Barrow Street,New York,"46 Barrow Street, New York, NY 10014, United States of America",-74.00452377000876,40.7321589
Renee Weiler Concert Hall,New York,10014,46,Barrow Street,New York,"46 Barrow Street, New York, NY 10014, United States of America",-74.0045267,40.7321597
Astor Place Theatre,New York,10003,434,Lafayette Street,New York,"434 Lafayette Street, New York, NY 10003, United States of America",-73.992186,40.7293012
Wild Project,New York,10009,195,East 3rd Street,New York,"195 East 3rd Street, New York, NY 10009, United States of America",-73.9833576,40.722952
MARCH,New York,10009,64,Avenue A,New York,"64 Avenue A, New York, NY 10009, United States of America",-73.9845324,40.7244007
Astor Place Opera House,New York,10003,,Astor Place,New York,"Astor Place, New York, NY 10003, United States of America",-73.9921313,40.7300861
Arts on Site,New York,10003,12,Saint Mark's Place,New York,"12 Saint Mark's Place, New York, NY 10003, United States of America",-73.989363,40.7289599
St. Mark's Comedy Club,New York,10003,12,Saint Mark's Place,New York,"12 Saint Mark's Place, New York, NY 10003, United States of America",-73.9892596,40.729044
Barcade,New York,10003,6,Saint Mark's Place,New York,"6 Saint Mark's Place, New York, NY 10003, United States of America",-73.9894764,40.7292159
Heights Players,New York,11201,26,Willow Place,New York,"26 Willow Place, New York, NY 11201, United States of America",-73.9982387,40.6929816
Orpheum Theatre,New York,10003,126,2nd Avenue,New York,"126 2nd Avenue, New York, NY 10003, United States of America",-73.98748234728669,40.728186449999995
Swiss Institute of Contemporary Art,New York,10003,,Saint Mark's Place,New York,"Saint Mark's Place, New York, NY 10003, United States of America",-73.987504,40.7283714
Sixth Street Haunted House,New York,10009,516,East 6th Street,New York,"516 East 6th Street, New York, NY 10009, United States of America",-73.9830825,40.7249615
Moshava Art,New York,10011,45,West 8th Street,New York,"45 West 8th Street, New York, NY 10011, United States of America",-73.9984234,40.7332901
Museum of the American Gangster,New York,10003,78,Saint Mark's Place,New York,"78 Saint Mark's Place, New York, NY 10003, United States of America",-73.9858672,40.7276111
Theatre 80,New York,10003,78,Saint Mark's Place,New York,"78 Saint Mark's Place, New York, NY 10003, United States of America",-73.9858067,40.727682
The Trust for Governors Island,New York,10004,110,Andes Road,New York,"110 Andes Road, New York, NY 10004, United States of America",-74.0159547,40.6927237
LMCC’s Arts Center at Governors Island,New York,10004,110,Andes Road,New York,"110 Andes Road, New York, NY 10004, United States of America",-74.0165662,40.6927837
Under St. Mark's Theater,New York,10009,94,Saint Mark's Place,New York,"94 Saint Mark's Place, New York, NY 10009, United States of America",-73.9847924,40.7272575
Pershing Hall;New York City Police Museum,New York,10004,125,Carder Road,New York,"125 Carder Road, New York, NY 10004, United States of America",-74.01366300000001,40.69156205
FIGMENT Mini Golf,New York,10004,,Andes Road,New York,"Andes Road, New York, NY 10004, United States of America",-74.01859167619716,40.692431799999994
Performance Space 122,New York,10009,159,1st Avenue,New York,"159 1st Avenue, New York, NY 10009, United States of America",-73.9843931,40.7281228
Theater for the New City,New York,10003,155,1st Avenue,New York,"155 1st Avenue, New York, NY 10003, United States of America",-73.9848327,40.7286316
AMC Loews Village 7,New York,10003,66,3rd Avenue,New York,"66 3rd Avenue, New York, NY 10003, United States of America",-73.9887471,40.7315215
Commanding Officer's Quarters,New York,10004,1,Barry Road,New York,"1 Barry Road, New York, NY 10004, United States of America",-74.01314010274635,40.69036335
Salmagundi Club,New York,10003,47,5th Avenue,New York,"47 5th Avenue, New York, NY 10003, United States of America",-73.9945529,40.7343016
A.I.R. Gallery,New York,10004,4,Barry Road,New York,"4 Barry Road, New York, NY 10004, United States of America",-74.0131856,40.6901411
Village East Cinema,New York,10003,181-189,2nd Avenue,New York,"181-189 2nd Avenue, New York, NY 10003, United States of America",-73.98639844734865,40.73095685
Museum of Russian Art,Jersey City,07304,80,Grand Street,New Jersey,"80 Grand Street, Jersey City, NJ 07304, United States of America",-74.03703825354981,40.71540525
Escaping Time: Art from U.S. Prisons,New York,10004,6,Barry Road,New York,"6 Barry Road, New York, NY 10004, United States of America",-74.0133744,40.689621
Theresa Byrnes,New York,10009,616,East 9th Street,New York,"616 East 9th Street, New York, NY 10009, United States of America",-73.9795215,40.7258135
The Battle for the Ballot: The Centennial of Women's Suffrage in New York,New York,10004,18,Evans Road,New York,"18 Evans Road, New York, NY 10004, United States of America",-74.01460694466667,40.689645
Classic Stage Company,New York,10003,136,East 13th Street,New York,"136 East 13th Street, New York, NY 10003, United States of America",-73.9882473,40.7327227
Regal Union Square Stadium 14,New York,10003,1320,Broadway,New York,"1320 Broadway, New York, NY 10003, United States of America",-73.9907254,40.7340532
The Dysfunctional Collective House,New York,10004,8,Barry Road,New York,"8 Barry Road, New York, NY 10004, United States of America",-74.01361777076445,40.68913345
Variety Arts Theatre,New York,10009,,East 13th Street,New York,"East 13th Street, New York, NY 10009, United States of America",-73.9883333,40.7330556
Quad Cinema,New York,10011,34,West 13th Street,New York,"34 West 13th Street, New York, NY 10011, United States of America",-73.9959654,40.7359607
Thirteenth Street Theater,New York,10011,50,West 13th Street,New York,"50 West 13th Street, New York, NY 10011, United States of America",-73.9964897,40.7362018
Tenri Institute,New York,10011,43A,West 13th Street,New York,"43A West 13th Street, New York, NY 10011, United States of America",-73.9961508,40.7362953
Museum of Reclaimed Urban Space,New York,10009,155,Avenue C,New York,"155 Avenue C, New York, NY 10009, United States of America",-73.9778791,40.7257313
The HoloCenter,New York,10004,403,Comfort Road,New York,"403 Comfort Road, New York, NY 10004, United States of America",-74.017070495208,40.6891586
Flywire Zipline,New York,10004,,Short Avenue,New York,"Short Avenue, New York, NY 10004, United States of America",-74.0210975,40.6898239
,New York,10004,,Division Road,New York,"New York, NY 10004, United States of America",-74.0211621,40.6898107
New York Transit Museum,New York,11201,99,Schermerhorn Street,New York,"99 Schermerhorn Street, New York, NY 11201, United States of America",-73.9899802,40.6905176
Pier 51 Play Area,New York,10014,,Hudson River Park Esplanade,New York,"Hudson River Park Esplanade, New York, NY 10014, United States of America",-74.01077351599693,40.73822975
Daryl Roth Theater,New York,10003,,East 15th Street,New York,"East 15th Street, New York, NY 10003, United States of America",-73.9894585,40.7352914
Irving Plaza,New York,10003,17,Irving Place,New York,"17 Irving Place, New York, NY 10003, United States of America",-73.9882699,40.7349099
The Stand,New York,10003,116,East 16th Street,New York,"116 East 16th Street, New York, NY 10003, United States of America",-73.9884636,40.7354298
Whitney Museum of American Art,New York,10014,99,Gansevoort Street,New York,"99 Gansevoort Street, New York, NY 10014, United States of America",-74.00892095028976,40.73964505
Yeshiva University Museum,New York,10011,,West 16th Street,New York,"West 16th Street, New York, NY 10011, United States of America",-73.9938312,40.737978
,New York,11231,,Degraw Street,New York,"New York, NY 11231, United States of America",-74.0036414065543,40.6859273
Museum of Illusions,New York,10011,77,8th Avenue,New York,"77 8th Avenue, New York, NY 10011, United States of America",-74.0028554,40.7396591
Small Editions,New York,11231,60,Sackett Street,New York,"60 Sackett Street, New York, NY 11231, United States of America",-74.0051542,40.6856374
Brooklyn Ballet,New York,11201,160,Schermerhorn Street,New York,"160 Schermerhorn Street, New York, NY 11201, United States of America",-73.9874708,40.6893457
Clayworks on Columbia,New York,11231,195,Columbia Street,New York,"195 Columbia Street, New York, NY 11231, United States of America",-74.0023636,40.6853822
New York Magic Lab,New York,10011,,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-74.0046577,40.7403565
Creative Arts Studio,New York,11201,310,Atlantic Avenue,New York,"310 Atlantic Avenue, New York, NY 11201, United States of America",-73.9885926,40.6882226
310 Art,New York,11201,310,Atlantic Avenue,New York,"310 Atlantic Avenue, New York, NY 11201, United States of America",-73.9885586,40.6882056
Invisible Dog Arts & Events Space,New York,11201,51,Bergen Street,New York,"51 Bergen Street, New York, NY 11201, United States of America",-73.991245,40.6871816
Rubin Museum of Art,New York,10011,150,West 17th Street,New York,"150 West 17th Street, New York, NY 10011, United States of America",-73.9977377,40.7400959
,New York,10009,,East River Esplanade,New York,"New York, NY 10009, United States of America",-73.972552,40.7245802
AMC Newport 11,Jersey City,07310,,Mall Drive West,New Jersey,"Mall Drive West, Jersey City, NJ 07310, United States of America",-74.0381087,40.7266521
Alamo Drafthouse Cinema - Brooklyn,New York,11201,445,Albee Square,New York,"445 Albee Square, New York, NY 11201, United States of America",-73.983202,40.6906381
Mother Cabrini Park,New York,11231,,President Street,New York,"President Street, New York, NY 11231, United States of America",-74.00474656198975,40.6843509
Five Iron Golf,New York,10011,138,5th Avenue,New York,"138 5th Avenue, New York, NY 10011, United States of America",-73.9916842,40.7389987
Ground Zero Museum Workshop,New York,10014,,West 14th Street,New York,"West 14th Street, New York, NY 10014, United States of America",-74.0067195,40.74121
Ellis Island Immigration Museum,New York,10004,,Ellis Island Bridge,New Jersey,"Ellis Island Bridge, New York, NJ 10004, United States of America",-74.0395482277728,40.699131050000005
AMC Loews 19th St. East 6,New York,10003,,East 19th Street,New York,"East 19th Street, New York, NY 10003, United States of America",-73.9896994,40.7385891
Clover's,New York,11201,338,Atlantic Avenue,New York,"338 Atlantic Avenue, New York, NY 11201, United States of America",-73.9875336,40.6878047
Atlantic Stage 2,New York,10011,330,West 16th Street,New York,"330 West 16th Street, New York, NY 10011, United States of America",-74.0027591,40.7414435
The Glade,New York,10014,,South Bridge,New York,"South Bridge, New York, NY 10014, United States of America",-74.0107005,40.7415948
Cobble Hill Cinemas,New York,11231,265,Court Street,New York,"265 Court Street, New York, NY 11231, United States of America",-73.99438135277373,40.68484805
The Amph,New York,10011,,North Bridge,New York,"North Bridge, New York, NY 10011, United States of America",-74.01086362524353,40.74233165
Collier West Annex,New York,11217,375,Atlantic Avenue,New York,"375 Atlantic Avenue, New York, NY 11217, United States of America",-73.9857205,40.6874549
